frame_index,timestamp,nose_x,nose_y,nose_z,nose_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility
1,0.0539,0.500720,0.460202,-1.402991,0.999783,0.770130,0.783697,-0.473450,0.996502,0.227371,0.768177,-0.408153,0.998450,0.881459,1.100688,-0.308315,0.327142,0.066741,1.246518,-0.171656,0.515435,0.892013,1.606404,-0.708095,0.044298,0.038317,1.598190,-0.707609,0.114161
2,0.1132,0.499152,0.459998,-1.418397,0.999791,0.767871,0.785530,-0.447478,0.996620,0.221618,0.770536,-0.444971,0.998500,0.898694,1.215386,-0.282071,0.323059,0.072811,1.248931,-0.176095,0.505504,0.890408,1.607258,-0.671872,0.043952,0.050594,1.598799,-0.650473,0.111029
3,0.1678,0.497378,0.460023,-1.405826,0.999797,0.768358,0.786585,-0.468435,0.996781,0.222310,0.769862,-0.385721,0.998541,0.889843,1.111923,-0.330195,0.322438,0.075162,1.234644,-0.065640,0.493396,0.890671,1.608593,-0.746209,0.044320,0.051810,1.585642,-0.515947,0.106998
4,0.2137,0.497721,0.459869,-1.347841,0.999808,0.768323,0.786695,-0.440014,0.996978,0.221123,0.768859,-0.373109,0.998627,0.887123,1.073904,-0.302942,0.318727,0.075442,1.230776,-0.099661,0.486862,0.890695,1.608906,-0.674553,0.044477,0.052123,1.578736,-0.584896,0.105993
5,0.2648,0.497181,0.459260,-1.472744,0.999812,0.768428,0.786712,-0.553847,0.997138,0.218442,0.770966,-0.397033,0.998650,0.904271,1.215251,-0.400715,0.319780,0.089736,1.238469,-0.123550,0.471450,0.891439,1.618441,-0.770861,0.045410,0.069215,1.582903,-0.607174,0.102799
6,0.3166,0.497712,0.459225,-1.567253,0.999821,0.767075,0.784682,-0.576799,0.997248,0.214147,0.774170,-0.523821,0.998683,0.897324,1.114627,-0.439298,0.322066,0.090352,1.271773,-0.427316,0.470717,0.895426,1.620098,-0.889684,0.046317,0.068880,1.597008,-1.190331,0.104929
7,0.3661,0.497590,0.459038,-1.609436,0.999826,0.766970,0.777759,-0.573498,0.997341,0.212773,0.776926,-0.617011,0.998719,0.895026,1.071300,-0.427923,0.330573,0.096393,1.270500,-0.443367,0.472098,0.919738,1.610555,-0.848166,0.048087,0.084120,1.605125,-1.047220,0.106969
8,0.4157,0.497263,0.458852,-1.628764,0.999831,0.765653,0.771476,-0.583092,0.997403,0.212372,0.777761,-0.601286,0.998741,0.891487,1.058532,-0.429171,0.336301,0.096581,1.273429,-0.467655,0.477671,0.921554,1.598836,-0.888461,0.050478,0.082779,1.605020,-1.194749,0.113229
9,0.4566,0.495948,0.458332,-1.348514,0.999843,0.766544,0.772423,-0.453811,0.997563,0.212973,0.775725,-0.387322,0.998820,0.902600,1.212569,-0.319586,0.329859,0.093975,1.270349,-0.304142,0.476630,0.915695,1.599773,-0.685659,0.050507,0.076585,1.592412,-1.114890,0.112351
10,0.5069,0.495469,0.458079,-1.409383,0.999849,0.766036,0.769613,-0.453410,0.997667,0.213060,0.775384,-0.428930,0.998879,0.896005,1.104689,-0.315586,0.333220,0.092809,1.267029,-0.303733,0.487178,0.914916,1.594983,-0.688627,0.050970,0.075977,1.592440,-1.024287,0.114330
