frame_index,timestamp,nose_x,nose_y,nose_z,nose_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility
1,0.0699,0.498320,0.289014,-1.178607,0.999968,0.795342,0.581465,-0.572230,0.999771,0.335671,0.574053,-0.097918,0.999107,0.947155,0.981005,-0.588026,0.736725,0.240494,0.979383,-0.146026,0.348637,1.026377,1.489373,-0.845974,0.253113,0.210147,1.267214,-1.228948,0.193747
2,0.1615,0.494087,0.290720,-1.173642,0.999968,0.794496,0.582083,-0.567688,0.999770,0.334688,0.577583,-0.108585,0.999085,0.946722,0.981077,-0.584958,0.732097,0.242516,0.979151,-0.108184,0.337221,1.025265,1.491047,-0.812888,0.242909,0.209744,1.316629,-1.028026,0.181688
3,0.2316,0.491595,0.291353,-1.167565,0.999966,0.792445,0.582260,-0.565187,0.999771,0.334470,0.577792,-0.092767,0.999079,0.946237,0.983321,-0.576510,0.730579,0.244687,0.969997,-0.007450,0.324021,1.011257,1.489453,-0.786466,0.234281,0.207326,1.318556,-0.809646,0.169660
4,0.2893,0.488519,0.291046,-1.206217,0.999964,0.791878,0.582266,-0.563365,0.999763,0.333926,0.578729,-0.125170,0.999032,0.946248,0.983797,-0.574527,0.731428,0.242490,0.970772,-0.052236,0.318227,1.013904,1.490406,-0.824966,0.228642,0.191923,1.379028,-0.900497,0.159903
5,0.3392,0.488514,0.290831,-1.207917,0.999961,0.791469,0.582242,-0.562523,0.999757,0.333942,0.578749,-0.126524,0.998990,0.946163,0.983752,-0.568646,0.728656,0.241931,0.970700,-0.002023,0.309672,1.013957,1.487806,-0.823758,0.218668,0.183766,1.398825,-0.722872,0.148484
6,0.4152,0.488845,0.290543,-1.198231,0.999960,0.791453,0.581353,-0.562440,0.999754,0.336977,0.576657,-0.095942,0.998954,0.945879,0.983587,-0.574660,0.726499,0.241929,0.970836,-0.013068,0.299853,1.014085,1.485898,-0.861508,0.213911,0.183732,1.395898,-0.830835,0.140232
7,0.4708,0.489196,0.289194,-1.197716,0.999954,0.791680,0.580589,-0.555893,0.999729,0.344033,0.575808,-0.098258,0.998879,0.953108,0.969967,-0.555724,0.724799,0.241776,0.971901,-0.019530,0.297584,1.030928,1.473433,-0.843248,0.207202,0.174074,1.413979,-0.744287,0.131548
8,0.5650,0.489774,0.288654,-1.238325,0.999944,0.791858,0.577494,-0.585029,0.999678,0.346183,0.569606,-0.156470,0.998684,0.956995,0.964726,-0.558853,0.725370,0.241791,0.969498,0.046856,0.291393,1.034195,1.454766,-0.839373,0.198998,0.162596,1.417236,-0.509249,0.122953
9,0.6279,0.490067,0.286072,-1.205382,0.999943,0.793427,0.576657,-0.601738,0.999673,0.351031,0.558376,-0.110748,0.998681,0.970196,0.964435,-0.568405,0.724410,0.248963,0.951801,0.222413,0.283764,1.061755,1.433953,-0.806405,0.195816,0.159880,1.412441,-0.231528,0.114182
10,0.6794,0.490249,0.286097,-1.181290,0.999941,0.798790,0.574882,-0.596381,0.999669,0.353320,0.557172,-0.104050,0.998698,0.976153,0.942346,-0.564399,0.727225,0.249063,0.936482,0.184479,0.280424,1.108916,1.393539,-0.768150,0.194868,0.158168,1.401215,-0.304977,0.106723
