frame_index,timestamp,nose_x,nose_y,nose_z,nose_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility
1,0.0470,0.748213,0.475623,-0.667030,0.999630,0.916205,0.736915,-0.545397,0.975019,0.690615,0.686036,0.254183,0.990939,0.937312,1.147382,-0.665305,0.581803,0.565905,0.847758,0.541171,0.212938,0.778165,1.341357,-0.622370,0.328071,0.427492,0.893662,0.415669,0.175978
2,0.0904,0.729152,0.475743,-0.667848,0.999643,0.906351,0.737758,-0.571124,0.977210,0.681596,0.679273,0.256747,0.991687,0.935483,1.138855,-0.672100,0.590328,0.533062,0.817323,0.443734,0.216883,0.781030,1.374776,-0.605567,0.308843,0.415603,0.885987,0.163026,0.170160
3,0.1316,0.710867,0.480809,-0.668873,0.999622,0.903068,0.743802,-0.594608,0.978753,0.680091,0.683800,0.206532,0.992263,0.946656,1.163580,-0.668749,0.584353,0.560572,0.984057,0.339046,0.208935,0.814325,1.414756,-0.585553,0.284309,0.488647,1.261055,0.036756,0.156226
4,0.1817,0.673981,0.502580,-0.667218,0.999610,0.892399,0.756639,-0.574980,0.980673,0.608945,0.684064,0.205397,0.992833,0.943808,1.185960,-0.624621,0.574848,0.550526,1.006855,0.352544,0.199876,0.886615,1.486213,-0.606597,0.260342,0.493615,1.266609,-0.033125,0.142576
5,0.2305,0.667495,0.517811,-0.804040,0.999484,0.887976,0.764688,-0.563294,0.982241,0.584871,0.719520,0.165926,0.993124,0.981432,1.154672,-0.634361,0.568580,0.545781,1.055698,0.415072,0.200389,0.939490,1.478616,-0.695139,0.238464,0.496527,1.367231,0.057349,0.130607
6,0.2802,0.658725,0.528540,-0.800025,0.999417,0.879875,0.765432,-0.523270,0.983829,0.581721,0.726826,0.177484,0.993572,0.981566,1.140591,-0.616713,0.585422,0.536480,1.054943,0.476904,0.203010,0.924732,1.450606,-0.701790,0.221876,0.497279,1.357720,0.166765,0.120449
7,0.3308,0.652078,0.535261,-0.758786,0.999455,0.865165,0.772546,-0.497314,0.985336,0.580386,0.726415,0.175450,0.994056,0.968125,1.148879,-0.580482,0.593677,0.532749,1.045806,0.394118,0.197772,0.902413,1.442136,-0.646492,0.205681,0.492150,1.300441,0.002994,0.110935
8,0.3798,0.642955,0.547738,-0.773084,0.999396,0.873069,0.785738,-0.545867,0.986386,0.594841,0.744908,0.147467,0.994316,0.984903,1.167848,-0.588242,0.589132,0.525970,1.064773,0.422616,0.202226,0.914698,1.429588,-0.685987,0.191581,0.492110,1.342838,0.112423,0.105097
9,0.4656,0.641244,0.552443,-0.834480,0.999356,0.871298,0.787308,-0.624449,0.987482,0.600389,0.750684,0.072730,0.994544,0.980790,1.164540,-0.658059,0.591398,0.534720,1.064986,0.389847,0.200291,0.904089,1.433731,-0.697412,0.178985,0.497843,1.330315,0.085869,0.098860
10,0.5114,0.649094,0.549468,-0.798899,0.999404,0.870955,0.783712,-0.561592,0.988580,0.600238,0.748050,0.067287,0.994885,0.974032,1.161165,-0.611114,0.599983,0.537093,1.070990,0.297412,0.198026,0.894859,1.435720,-0.726921,0.171016,0.494203,1.331890,-0.001796,0.093407
11,0.5677,0.656379,0.546593,-0.870247,0.999420,0.861943,0.779576,-0.585278,0.989399,0.599193,0.746542,-0.050266,0.995142,0.970364,1.156095,-0.638339,0.614058,0.539411,1.065187,0.116311,0.201351,0.869414,1.426547,-0.741304,0.165086,0.497606,1.319116,-0.203123,0.089345
12,0.6224,0.660972,0.545537,-0.833984,0.999434,0.866207,0.778432,-0.672755,0.989353,0.626664,0.753605,0.032290,0.995060,0.968606,1.154117,-0.734024,0.616757,0.596557,1.075087,0.199317,0.189987,0.822303,1.413385,-0.734696,0.168156,0.538428,1.305105,-0.132864,0.086388
13,0.6693,0.663129,0.544144,-0.921350,0.999457,0.866577,0.762068,-0.715120,0.989529,0.641386,0.755086,0.018429,0.995101,0.960090,1.146409,-0.828124,0.625363,0.602605,1.077623,0.157798,0.185041,0.777905,1.378621,-0.905190,0.182245,0.545496,1.307688,-0.164610,0.087475
