frame_index,timestamp,nose_x,nose_y,nose_z,nose_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility
1,0.0657,0.482943,0.423953,-1.527550,0.999422,0.767015,0.746898,-0.651624,0.992531,0.320378,0.729542,-0.426181,0.982154,0.889830,1.194670,-0.722782,0.543429,0.171649,1.018308,-0.907358,0.245005,0.924395,1.584162,-1.065161,0.272492,0.240981,0.824467,-2.013327,0.133894
2,0.1165,0.483464,0.433314,-1.427571,0.999465,0.764460,0.751046,-0.582954,0.992733,0.320274,0.733415,-0.343000,0.982760,0.864050,1.207103,-0.586901,0.525550,0.172148,1.018649,-0.570718,0.238137,0.905784,1.585142,-0.970984,0.259699,0.212548,1.076405,-1.571051,0.135654
3,0.1771,0.482575,0.436223,-1.441890,0.999484,0.760974,0.754896,-0.556099,0.992581,0.315703,0.732660,-0.379983,0.983409,0.852428,1.203527,-0.492937,0.509901,0.172035,1.013804,-0.529251,0.237088,0.894694,1.585892,-0.868322,0.244759,0.195634,1.138638,-1.430389,0.138803
4,0.2180,0.482724,0.436284,-1.525238,0.999500,0.753260,0.754518,-0.598914,0.991872,0.299664,0.732664,-0.471614,0.983844,0.850877,1.186451,-0.534486,0.500989,0.167109,1.016406,-0.465935,0.243787,0.875720,1.557878,-0.959658,0.231629,0.166596,1.310356,-0.970367,0.134037
5,0.2679,0.481741,0.432662,-1.462381,0.999528,0.742680,0.746002,-0.575685,0.991681,0.293930,0.722757,-0.393827,0.983700,0.846079,1.165025,-0.551269,0.494293,0.163916,1.010303,-0.588496,0.244330,0.880038,1.531838,-0.983150,0.220776,0.181463,0.976131,-1.515598,0.136067
6,0.3190,0.481516,0.431060,-1.445494,0.999554,0.732527,0.740519,-0.564501,0.991565,0.289040,0.709088,-0.372018,0.983628,0.839930,1.152534,-0.578819,0.493903,0.155004,1.010236,-0.745365,0.263974,0.865862,1.513843,-0.985214,0.214936,0.212492,0.822270,-1.814299,0.160949
7,0.3696,0.483789,0.427372,-1.448616,0.999566,0.716930,0.728945,-0.502328,0.991029,0.273200,0.692711,-0.399885,0.983897,0.829400,1.154615,-0.451517,0.491695,0.129750,1.013658,-0.579289,0.280694,0.841583,1.504561,-0.899753,0.205804,0.206675,0.851231,-1.729421,0.158715
8,0.4205,0.487971,0.426714,-1.464255,0.999520,0.714063,0.728795,-0.502790,0.989546,0.270043,0.691263,-0.415523,0.983202,0.831854,1.171709,-0.679524,0.479456,0.117868,1.013993,-0.912214,0.304714,0.828366,1.376652,-1.205461,0.198856,0.224628,0.779128,-1.985749,0.178657
9,0.4697,0.493634,0.426762,-1.501457,0.999541,0.713797,0.729451,-0.505106,0.989586,0.267400,0.686775,-0.487872,0.984341,0.825096,1.193928,-0.474080,0.469689,0.111606,1.023936,-0.490191,0.328179,0.829962,1.508902,-0.937316,0.186774,0.152999,1.343459,-1.027362,0.174907
10,0.5205,0.498111,0.430331,-1.487736,0.999564,0.709212,0.725817,-0.436421,0.990122,0.266301,0.688531,-0.465499,0.985565,0.808105,1.182525,-0.313518,0.459805,0.113853,1.036867,-0.387855,0.355973,0.828096,1.517988,-0.773377,0.178239,0.121737,1.432627,-0.950575,0.178999
