frame_index,timestamp,nose_x,nose_y,nose_z,nose_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility
1,0.0347,0.255904,0.019597,-1.085511,0.989051,0.498049,0.382299,-0.372145,0.992026,0.086321,0.324503,-0.177906,0.976361,0.558713,0.815859,-0.398016,0.552712,0.020638,0.769381,-0.045099,0.198720,0.504781,1.180262,-0.880573,0.396046,0.012148,0.999101,-0.591604,0.138784
2,0.0689,0.234406,0.020348,-1.086344,0.985942,0.489604,0.367434,-0.416240,0.992264,0.078022,0.324496,-0.169041,0.976381,0.559832,0.782388,-0.417086,0.574024,0.024386,0.767159,-0.032376,0.198690,0.511140,1.082149,-0.882155,0.399148,0.007873,0.976037,-0.656706,0.133620
3,0.1042,0.231970,0.038915,-1.095246,0.986353,0.481285,0.354460,-0.378917,0.992848,0.069503,0.326103,-0.170717,0.977397,0.561151,0.756524,-0.399955,0.602286,0.023768,0.753736,-0.162322,0.210780,0.525273,1.005196,-0.964333,0.426089,0.013872,0.966649,-0.923970,0.139420
4,0.1287,0.222236,0.038085,-1.172343,0.986322,0.476186,0.349387,-0.371226,0.993356,0.062837,0.327414,-0.161088,0.977594,0.561694,0.751901,-0.500259,0.628388,0.025200,0.753155,-0.086065,0.219060,0.534258,0.975424,-1.280345,0.459348,0.018282,0.980676,-0.808143,0.142399
5,0.1622,0.226771,0.056623,-1.288806,0.986789,0.472109,0.352079,-0.470604,0.993696,0.059607,0.327997,-0.267822,0.979299,0.558928,0.759602,-0.476415,0.644868,0.039905,0.765009,-0.156568,0.242852,0.538550,0.974121,-1.136886,0.464126,0.060336,1.011799,-0.877730,0.151178
6,0.1965,0.223127,0.063517,-1.251211,0.987741,0.471701,0.353491,-0.438622,0.994115,0.051795,0.332775,-0.253961,0.980825,0.556437,0.758000,-0.471645,0.660516,0.039537,0.772988,-0.272180,0.265466,0.542062,0.955303,-1.094593,0.483970,0.048593,1.001127,-1.164378,0.166179
7,0.2305,0.215125,0.084777,-1.250605,0.987505,0.472179,0.353810,-0.390846,0.994147,0.050833,0.341145,-0.309957,0.982032,0.552791,0.761751,-0.306065,0.655341,0.033167,0.805589,-0.262190,0.293016,0.547166,0.957345,-0.913466,0.469442,0.042480,1.081531,-0.841788,0.169072
8,0.2647,0.218436,0.091449,-1.308436,0.987526,0.471560,0.355617,-0.462511,0.994050,0.052383,0.353554,-0.413128,0.983434,0.549143,0.763640,-0.326183,0.643180,0.020504,0.812684,-0.261093,0.323107,0.555202,0.973407,-0.936434,0.446661,0.041611,1.139853,-0.664275,0.171855
9,0.2982,0.229573,0.087890,-1.274289,0.988055,0.471693,0.358533,-0.381193,0.993763,0.051059,0.360343,-0.423973,0.984014,0.545504,0.782996,-0.214449,0.616204,-0.008776,0.813175,-0.489362,0.327144,0.591692,0.976210,-0.707564,0.427753,-0.014053,1.099790,-1.144899,0.166519
10,0.3328,0.232509,0.087497,-1.141558,0.989075,0.470589,0.357763,-0.283399,0.994146,0.052256,0.360309,-0.292221,0.984947,0.543056,0.783140,-0.228884,0.619388,-0.045043,0.671273,-0.726080,0.358672,0.614297,0.983647,-0.736627,0.439104,-0.062477,0.474971,-1.841686,0.214260
