frame_index,timestamp,nose_x,nose_y,nose_z,nose_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility
20,0.9668,0.503044,0.487620,-1.726026,0.999572,0.831172,0.927422,-0.503435,0.981725,0.214370,0.925151,-0.405159,0.949400,1.076350,1.375720,-0.523420,0.169600,0.007731,1.313237,-0.335926,0.185722,1.147023,1.694149,-1.100416,0.150068,0.022314,1.439663,-0.984390,0.221431
21,1.0170,0.502999,0.487588,-1.720096,0.999580,0.831512,0.926552,-0.501778,0.981940,0.214442,0.924079,-0.414827,0.949833,1.076419,1.374989,-0.534436,0.167749,0.008147,1.310673,-0.413174,0.181209,1.146934,1.681557,-1.143296,0.147191,0.019131,1.383176,-1.153902,0.212656
22,1.0673,0.502948,0.487498,-1.718006,0.999503,0.831501,0.926541,-0.482304,0.978464,0.214037,0.924236,-0.447302,0.943268,1.076581,1.348746,-0.517655,0.159406,0.017278,1.309949,-0.476459,0.172499,1.146820,1.575739,-1.058574,0.138640,0.036053,1.333737,-1.150733,0.198619
23,1.1207,0.502961,0.487254,-1.716185,0.999511,0.831315,0.926465,-0.469783,0.978443,0.214083,0.923672,-0.445227,0.943529,1.072910,1.348691,-0.510209,0.156361,0.013895,1.290237,-0.590869,0.171529,1.146776,1.576923,-1.050885,0.136619,0.032248,1.154249,-1.351966,0.198581
24,1.1711,0.502998,0.487066,-1.739388,0.999523,0.831310,0.925759,-0.485021,0.978835,0.213204,0.923644,-0.478617,0.944582,1.073591,1.348668,-0.532455,0.153777,0.012271,1.293559,-0.589770,0.171399,1.147034,1.580148,-1.112622,0.134654,0.024320,1.147374,-1.325172,0.195437
25,1.2185,0.503317,0.487029,-1.733663,0.999532,0.831218,0.925616,-0.488700,0.979352,0.212420,0.923588,-0.477403,0.945094,1.073529,1.349330,-0.571869,0.151572,0.007112,1.297186,-0.555475,0.170309,1.140869,1.589618,-1.197468,0.133362,0.012518,1.144903,-1.309798,0.189734
26,1.2690,0.504059,0.486991,-1.733374,0.999550,0.830867,0.925310,-0.495930,0.980077,0.212424,0.923247,-0.465236,0.946475,1.071217,1.352448,-0.590481,0.153240,-0.003452,1.279676,-0.670398,0.171560,1.139649,1.634500,-1.194556,0.134782,0.013752,1.028012,-1.560018,0.197105
27,1.3384,0.503733,0.486440,-1.783821,0.999557,0.831443,0.925586,-0.544591,0.980381,0.211693,0.923792,-0.461542,0.947758,1.075242,1.354010,-0.613000,0.153308,-0.002799,1.283993,-0.497936,0.173185,1.147219,1.640305,-1.201297,0.134392,0.011820,1.052336,-1.168890,0.193483
28,1.3844,0.502515,0.486001,-1.817687,0.999569,0.833293,0.926492,-0.586022,0.981148,0.209810,0.924883,-0.460144,0.950098,1.078159,1.358861,-0.673587,0.157872,0.008709,1.308732,-0.287278,0.173792,1.147134,1.666687,-1.342151,0.132945,0.027409,1.413944,-0.917655,0.186875
29,1.4445,0.501767,0.485689,-1.799590,0.999565,0.833067,0.926828,-0.578117,0.981241,0.209210,0.925203,-0.463958,0.950720,1.077772,1.360294,-0.637868,0.157632,0.010682,1.317277,-0.356928,0.170001,1.145097,1.671853,-1.323461,0.129486,0.033101,1.444442,-1.029942,0.178118
30,1.5014,0.501300,0.485256,-1.797867,0.999560,0.833058,0.928316,-0.564483,0.981307,0.207736,0.926126,-0.454532,0.951379,1.076319,1.365474,-0.632628,0.160104,0.020881,1.324517,-0.264108,0.166517,1.141556,1.680588,-1.279364,0.126814,0.040750,1.475034,-0.874954,0.169089
31,1.5517,0.500808,0.484886,-1.790384,0.999567,0.833286,0.927774,-0.562334,0.981698,0.207740,0.925788,-0.444168,0.951868,1.076098,1.360404,-0.661730,0.163026,0.017466,1.292474,-0.270031,0.166091,1.141147,1.665211,-1.300736,0.126343,0.039589,1.129600,-0.962756,0.170791
32,1.5990,0.500713,0.484849,-1.761317,0.999549,0.834025,0.926420,-0.540786,0.982126,0.208361,0.925327,-0.441882,0.952752,1.074675,1.360632,-0.631987,0.164406,0.017044,1.301632,-0.273610,0.163164,1.134445,1.666982,-1.280001,0.122989,0.039289,1.423440,-1.172459,0.161265
33,1.6484,0.500783,0.484803,-1.715985,0.999513,0.834394,0.926904,-0.529523,0.981498,0.208946,0.923449,-0.428150,0.950913,1.073890,1.362240,-0.629921,0.161552,0.009019,1.309871,-0.301505,0.158475,1.133207,1.665568,-1.273903,0.119592,0.025058,1.460986,-1.183063,0.151404
